date,reason,detail
2026-02-04,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-05,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-06,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-09,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-10,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-11,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-12,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-13,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-16,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-17,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-18,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-19,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-20,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-23,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-24,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-25,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-26,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-27,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-03-02,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-03-03,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-03-04,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-03-05,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-03-06,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-03-09,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-03-10,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-03-11,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
